G,TRB,AST,STL,BLK,PTS
1,12,2,0,0,24
2,10,3,1,0,31
3,4,3,2,0,22
4,5,2,2,2,35
5,9,5,3,1,21
6,7,4,4,0,31
7,6,5,2,1,19
8,11,2,0,0,25
9,7,3,1,0,12
10,6,2,1,1,20
11,9,4,3,0,26
12,15,4,3,0,31
13,6,2,1,0,18
14,10,2,2,0,27
15,10,2,1,2,29
16,10,5,2,1,17
17,8,3,1,1,37
18,9,2,1,2,34
19,8,2,0,0,27
20,9,1,5,1,36
21,3,4,4,1,32
22,8,4,2,2,20
23,6,4,1,0,28
24,14,4,0,0,29
25,10,6,4,0,28
26,6,1,1,0,37
27,8,2,2,0,30
28,6,1,0,1,21
29,9,0,0,0,27
30,6,1,0,0,45
31,1,5,2,0,21
32,7,6,5,0,30
33,4,6,6,1,31
34,11,4,1,0,20
35,11,5,3,2,41
36,4,2,4,0,33
37,7,5,2,0,32
38,10,3,0,0,33
39,8,2,3,0,16
40,5,2,0,0,18
41,7,3,3,0,24
42,5,6,1,0,11
43,2,8,1,0,30
44,6,2,2,1,25
45,6,4,1,0,21
46,3,5,3,0,38
47,6,1,1,0,26
48,1,2,2,0,31
49,9,2,1,0,25
50,8,4,2,0,25
51,10,2,1,1,33
52,10,6,2,0,22
53,6,4,2,0,37
54,9,3,0,2,28
55,4,5,6,0,14
56,7,5,1,0,15
57,9,3,0,0,26
58,6,4,0,0,29
59,4,4,1,0,22
60,6,1,1,1,20
